23,23,རྫོགས་པ་ཆེན་པོ་ངེས་དོན་འདུས་པའི་ཡང་སྙིང་ཀུན་ཏུ་བཟང་པོ་ཡེ་ཤེས་ཀློང་གི་རྒྱུད།,2,315.2,363.1,37,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་ལ་དང་། བོད་ཀྱི་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར་བ།,ད- ཀ༣༤༤- ༣༦༡ ཚ- ཆ ༡༡,མཇུག་བྱང་དུ། རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་མི་ཏྲས་བོད་དུ་བསྣམས་ནས་བྱོན་ཏེ། མྱང་ཏིང་འཛིན་བཟང་པོ་ལ་བསྟན་པའོ།            །དེས་དབུ་རུ་གཟོང་ཕུག་མོའི་བྲག་ལ་སྦས། འབྲོམ་ཡེ་ཤེས་བླ་མའི་སྙིང་པོས་བཏོན། ཉང་དབང་ཕྱུག་རྒྱ་མཚོ་ལ་བཤད། དེས་ཉང་ཤེས་རབ་མཆོག་ལ་བཤད།            དེས་ཤང་པ་ལྕེ་ཆུང་བ་ལ་བཤད་དོ། ཞེས་གསལ་བ་དང་།            མཇུག་ཏུ་རྒྱུད་འདིའི་ས་བཅད་ཞིག་མཚམས་བྲག་དཔེ་ལ་བཞུགས་འདུག་པ་ནི་བོད་རྩོམ་དུ་སྣང་བས་ལོགས་སུ་བཞག་ཡོད།
24,24,རྫོགས་པ་ཆེན་པོ་ངེས་དོན་ཐམས་ཅད་འདུས་པ་ཡེ་ཤེས་ནམ་མཁའ་དང་མཉམ་པའི་རྒྱུད།,2,363.1,701.6,212,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་ལ་མི་ཏྲ་དང་། བོད་ཀྱི་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར།,ད- ཁ༣༤༤- ༣༦༡ ཚ- ཇ༡,རྒྱུད་འདི་ནི་སྡེ་དགེ་དང་མཚམས་བྲག་གཉིས་ཚིག་དོན་དང་ལེའུ་གོ་རིམ་སོགས་ཕལ་ཆེར་འདྲ་ཡང་།            སྡོམ་ཞེས་པའི་ས་བཅད་ཞིག་ཡོད་པ་དེའི་གྲངས་ཀྱི་གོ་རིམ་མི་འདྲ།
25,25,རྫོགས་པ་ཆེན་པོ་དོན་འདུས་རིག་པའི་གསུང་རང་བྱུང་བདེ་བའི་འཁོར་ལོ།,2,701.6,756,33,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,བི་མ་ལ་མི་ཏྲ་དང་གཉགས་ཛྙཱ་ནས་བསྒྱུར་བ།,ད- ཁ༡༣༡- ༡༤༧ ཚ- ཆ༧,གསེར་གྱི་དྲིལ། བི་མ་ལས་ཨ་ཙཪྱ་ལ། .ེས་མྱང་ལ། .ེས་གཟོང་ཕུག་མོར་གདམས་ངག་འདི་ཡེ་ཤེས་སྙིང་པོ་ལ། སྟོན་ཀྱང་དེས་ཀས་སྟོན།            .ེས་མྱང་དབང་ཕྱུག་རྒྱ་མཚོ་ལ། .ེས་ཤངས་པ་ལ། .ེས་གཙང་གི་བགྲོད་སྟོན་ལ། .ེས་ར་སྟོན་ལ། .ེས་བྱང་ཆུབ་རྒྱན་ལའོ། །
26,26,རྫོགས་པ་ཆེན་པོ་མ་རིག་མུན་པ་རབ་ཏུ་སེལ་བར་བྱེད་པའི་ལྟ་བ་ཡེ་ཤེས་གཏིང་ནས་རྫོགས་པའི་རྒྱུད།,3,1.1,62.6,41,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,བི་མ་ལ་མི་ཏྲ་དང་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར།,ད- ཁ༡༤༧- ༡༦༨ ཚ- ཇ༢,ལེའུ་དང་འགྱུར་བྱང་བཅས་འདྲ། མཚམས་བྲག་ལེའུ་སོ་དྲུག་པ་དེ་སོ་བཞི་བྱས་ཏེ་བྲིས་ནོར་ཤོར་ཡོ.།
27,27,རྫོགས་པ་ཆེན་པོའི་ལྟ་བ་ཐམས་ཅད་ཀྱི་སྙིང་པོའི་རྒྱུད།,3,63.1,100.6,24,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,ད-ཁ༡༦༨-༡༨༡ ཚ- ཇ༤,མཚམས་བྲག་རྒྱུད་འབུམ་ལ་ལེའུ་གསུམ་ལྷག་མ་ཡོད་པ་སྟེ། ལྡེབ་བཅོ་བརྒྱད་པའི་ཉིན་ཕྲེང་གཉིས་པ་དང་། སྡེ་པར་མ་དཔེའི་ལྡེབ༡༧༢པ་ཕྲེང་དང་པོའི།            རིགས་རྒྱུད་མེད་ཕྱིར་སེམས་སུ་གཅིག །ཞེས་པའི་མཚམས་སུ་ལེའུ་བཅུ་པ་བྱས། .ེ་ནས་གོང་གི་འཕྲོ། .ེ་ཉིད་ལྷུན་གྱིས་གྲུབ་པ་ནི།            ཞེས་པ་ནས་བཟུང་ལྷུན་གྲུབ་ལྟ་བ་བསྟན་པའི་ལེའུ་སྟེ་བཅུ་བཞི་པ་བྱས་ཏེ། སྡེ་པར་ལེའུ་བཅུ་པ་ལ་མཚམས་བྲག་ལ་ལེའུ་གཉིས་སུ་ཕྱེས།            དེའི་བར་དུ་རྟོགས་པ་ལམ་གྱི་.ས་བསྟན་པའི་ལེའུ༡༡0། འབྲས་བུ་གྲུབ་པའི་ཚད་བསྟན་པའི་ལེའུ༡༢0།            བསྒོམ་.་ཡོད་མེད་ས་མཚམས་བསྟན་པའི་ལེའུ༡༣0-སྟེ་མཚམས་བྲག་ལ་ཁྱོན་ལེའུ་ཉེར་བརྒྱད་ཡོད་ཀྱང་སྡེ་པར་ལས་ལེའུ་གསུམ་ཆད་འ.ག་ནས་མེ.།            འགྱུར་བྱང་མི་བཞུགས།
28,28,རྫོགས་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོ་ཡེ་ཤེས་གསལ་བར་སྟོན་པའི་རྒྱུད།,3,101.1,113.6,12,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྡོ་རྗེ་ཡང་དབང་གཏེར་གྱིས་བསྒྱུར།,ད- ཁ༡༨༡- ༡༨༥ ཚ- ང༡༨
29,29,རྫོགས་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོ་ཡེ་ཤེས་གསལ་བར་སྟོན་པའི་རྒྱུད་ཕྱི་མ།,3,114.1,116.6,4,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྡོ་རྗེ་ཡང་དབང་གཏེར་གྱིས་བསྒྱུར།,ད- ཁ༡༨༦- ༡༨༧ ཚ- ང༡༩
30,30,རྫོགས་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོ་ཡེ་ཤེས་གསལ་བར་སྟོན་པའི་རྒྱུད་ཕྱི་མའི་ཡང་ཕྱི་མ།,3,117.1,120.1,4,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,སློབ་དཔོན་ཤྲཱི་སེངྷ་དང་ཡང་དབང་གཏེར་གྱིས་བསྒྱུར།,ད- ཁ༡༨༧- ༡༨༨ ཚ- ང༢༡
31,31,ཡེ་ཤེས་འཁོར་ལོའི་རྒྱུད།,3,120.1,123.4,7,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,ད- ཁ༡༨༧- ༡༨༩ ཚ- ཁ༡༣
32,32,རྫོགས་པ་ཆེན་པོ་ཡེ་ཤེས་འཁོར་ལོ་གསང་བ་ཐུགས་ཀྱི་རྒྱུད།,3,123.4,146.6,19,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,ད- ཁ༡༨༩- ༡༩༧ ཚ- ང༤,འགྱུར་བྱང་མི་བཞུགས།
